ID	C1	C2	C3	E1	E2	E3	F1	F2	F3
C15orf40	14.066000	12.752800	12.471800	14.039700	13.198400	13.743600	13.756100	12.316900	13.743900
C15orf41	3.435100	3.261360	4.030810	4.281530	3.786900	3.222930	2.280770	3.205590	2.837440
C15orf43	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C15orf48	0.000000	0.000000	0.000000	0.000000	0.000000	0.185799	0.000000	0.096861	0.000000
C15orf52	8.753910	9.754280	10.004200	5.690070	6.249090	6.259560	8.156280	8.494170	7.854170
C15orf53	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C15orf54	0.000000	0.000000	0.000000	0.000000	0.022726	0.000000	0.000000	0.000000	0.000000
C15orf56	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C15orf57	11.712700	10.999500	10.242000	13.469000	13.065100	14.802000	12.789700	12.178100	14.743000
C15orf59	0.191400	0.166065	0.200913	0.358205	0.314911	0.562853	0.255737	0.212946	0.528011
C15orf59-AS1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C15orf61	7.069830	5.757060	5.995730	10.952500	9.658180	11.737100	7.205190	6.347820	6.739040
C15orf62	1.282550	0.779146	1.343590	1.233210	0.973302	1.117980	1.474810	1.458550	1.417340
C15orf65	5.060050	5.036300	6.468710	9.496620	9.318230	7.204620	5.101510	4.386040	2.415690
C16orf13	81.890700	62.736200	62.686100	53.876600	45.123600	54.984400	70.796900	69.521500	98.361500
C16orf45	17.144600	20.728900	18.155800	17.916300	16.243600	18.227800	18.330500	17.136300	17.074800
C16orf46	0.693336	0.773457	0.698514	2.081450	1.051970	1.282650	0.818455	0.630501	0.669043
C16orf47	0.182586	0.054804	0.127649	0.000000	0.060520	0.049660	0.261786	0.103883	0.059567
C16orf52	2.826140	2.150480	2.990320	6.297400	6.864470	5.113240	2.355360	2.124870	1.941720
C16orf54	0.000000	0.000000	0.000000	0.000000	0.026524	0.000000	0.000000	0.000000	0.000000
C16orf58	19.891400	20.232300	18.928100	28.977400	26.825300	33.520300	20.957600	20.735800	28.013700
C16orf59	8.569660	9.131680	9.175850	4.855280	4.633560	5.307590	7.990460	9.575730	11.943500
C16orf62	19.243700	18.886300	17.532700	16.155900	14.400000	17.654800	18.707800	19.166700	21.242500
C16orf70	8.161960	8.378960	8.072830	9.603210	8.460250	9.232290	8.568380	8.949730	9.493690
C16orf71	0.126853	0.228722	0.265766	0.269282	0.303728	0.103831	0.356149	0.239425	0.322402
C16orf72	13.260300	13.647000	12.845300	23.943400	22.308900	21.765300	13.384200	13.256400	9.605230
C16orf74	17.020000	20.127600	17.330000	10.814900	10.013100	12.829200	15.452100	16.797500	21.333400
C16orf78	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C16orf82	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C16orf86	0.063266	0.000000	0.000000	0.000000	0.062896	0.000000	0.068012	0.215896	0.061925
C16orf87	7.749200	5.858150	6.998430	7.117170	8.158830	5.401890	4.868390	4.733750	4.815600
C16orf89	0.000000	0.000000	0.000000	0.000000	0.000000	0.031101	0.000000	0.000000	0.000000
C16orf90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C16orf91	13.423700	16.563100	16.374800	11.113200	10.343600	14.097900	18.272000	14.257500	17.239500
C16orf92	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C16orf93	2.225200	2.548930	2.682310	1.559280	2.089260	2.592940	2.607020	1.933800	2.918450
C16orf95	3.167940	1.309360	1.122810	2.806280	2.260880	2.723920	2.594810	2.400040	2.333230
C16orf96	0.039028	0.035192	0.040876	0.017254	0.019478	0.063924	0.000000	0.000000	0.038143
C16orf97	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf100	1.215310	1.488910	1.172070	0.990277	0.677512	0.794159	0.785244	0.748122	0.808483
C17orf102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
C17orf104	0.153102	0.238496	0.276921	0.098420	0.278002	0.068424	0.150499	0.083728	0.068000
